Exercise,Category,Type,Goal,Sets/Duration,Reps
Partner plank band row,Core,home,general fitness,3,12
Banded crunch isometric hold,Core,home,general fitness,3,12
FYR Banded Plank Jack,Core,home,general fitness,3,12
Banded crunch,Core,home,general fitness,3,12
Crunch,Core,home,general fitness,3,12
Decline band press sit-up,Core,home,general fitness,3,12
FYR2 Banded Frog Pump,Core,home,general fitness,3,12
Band low-to-high twist,Core,home,general fitness,3,12
Barbell roll-out,Core,gym,general fitness,3,12
Barbell Ab Rollout - On Knees,Core,gym,general fitness,3,12
Decline bar press sit-up,Core,gym,general fitness,3,12
Bench barbell roll-out,Core,gym,general fitness,3,12
Barbell Side Bend,Core,gym,general fitness,3,12
Seated bar twist,Core,gym,general fitness,3,12
Single-arm landmine pull and press,Core,gym,general fitness,3,12
Barbell Ab Roll Out - Gethin Variation,Core,gym,general fitness,3,12
30 Barbell Floor Wiper,Core,gym,general fitness,3,12
30 Barbell Roll-Out,Core,gym,general fitness,3,12
Decline plate sit-up,Core,gym,general fitness,3,12
KV Barbell Hip Thrust,Core,gym,general fitness,3,12
Advanced Kettlebell Windmill,Core,gym,general fitness,3,12
Kettlebell Windmill,Core,gym,general fitness,3,12
Kettlebell Pass Between The Legs,Core,gym,general fitness,3,12
Kettlebell 3-point leg extension,Core,gym,general fitness,3,12
Double Kettlebell Swing,Core,gym,general fitness,3,12
Burpee over kettlebell,Core,gym,general fitness,3,12
Kettlebell toe-touch,Core,gym,general fitness,3,12
Kettlebell swing,Core,gym,general fitness,3,12
Two-way swing,Core,gym,general fitness,3,12
Kettlebell crab reach,Core,gym,general fitness,3,12
Taylor Single-Arm Kettlebell Swing,Core,gym,general fitness,3,12
Holman Kettlebell Up to Elbow Down,Core,gym,general fitness,3,12
FYR2 Double-Kettlebell Ski,Core,gym,general fitness,3,12
FYR2 Kettlebell Hike,Core,gym,general fitness,3,12
FYR2 Kettlebell Cross-Body Catch,Core,gym,general fitness,3,12
FYR2 Kettlebell Duck Walk,Core,gym,general fitness,3,12
FYR2 Kettlebell Get-Up Reach,Core,gym,general fitness,3,12
FYR2 Kettlebell Juggle,Core,gym,general fitness,3,12
FYR2 Squat-Clean-Alternating-Press Complex,Core,gym,general fitness,3,12
Dumbbell V-Sit Cross Jab,Core,home,general fitness,3,12
